date,sentiment
2024-11-12,negative
2024-11-11,neutral
2024-11-04,neutral
2024-11-02,positive
2024-11-01,neutral
2024-11-01,negative
2024-10-31,negative
2024-10-31,positive
2024-10-31,negative
2024-10-31,positive
2024-10-31,negative
2024-10-31,negative
2024-10-29,neutral
2024-10-28,negative
2024-10-25,positive
2024-10-24,negative
2024-10-18,negative
2024-10-17,positive
2024-10-17,negative
2024-10-16,negative
2024-10-15,neutral
2024-10-04,positive
2024-10-04,negative
2024-10-01,negative
2024-09-27,negative
2024-09-27,negative
2024-09-27,neutral
2024-09-26,positive
2024-09-25,negative
2024-09-24,positive
2024-09-24,neutral
2024-09-23,negative
2024-09-23,negative
2024-09-22,neutral
2024-09-21,neutral
2024-09-21,negative
2024-09-20,negative
2024-09-19,positive
2024-09-17,negative
2024-09-17,positive
2024-09-16,positive
2024-09-16,positive
2024-09-16,negative
2024-09-15,neutral
2024-09-14,positive
2024-09-11,positive
2024-09-06,neutral
2024-09-05,neutral
2024-09-05,neutral
2024-09-05,negative
2024-09-05,negative
2024-09-04,negative
2024-09-03,negative
2024-09-03,positive
2024-09-03,neutral
2024-09-03,neutral
2024-09-02,negative
2024-08-31,negative
2024-08-30,negative
2024-08-30,negative
2024-08-30,negative
2024-08-29,negative
2024-08-28,neutral
2024-08-28,neutral
2024-08-27,negative
2024-08-23,negative
2024-08-22,negative
2024-08-19,negative
2024-08-18,negative
2024-08-16,negative
2024-08-15,negative
2024-08-14,negative
2024-08-14,negative
2024-08-13,positive
2024-08-09,negative
2024-08-08,negative
2024-08-08,negative
2024-08-07,neutral
2024-08-07,negative
2024-08-06,negative
2024-08-02,negative
2024-08-02,negative
2024-08-02,negative
2024-08-02,negative
2024-08-01,negative
2024-08-01,positive
2024-08-01,negative
2024-08-01,negative
2024-08-01,neutral
2024-08-01,negative
2024-07-31,neutral
2024-07-31,positive
2024-07-30,negative
2024-07-26,negative
2024-07-21,negative
2024-07-18,neutral
2024-07-12,neutral
2024-07-09,negative
2024-07-08,positive
2024-07-08,positive
2024-07-05,positive
2024-07-01,positive
2024-06-27,negative
2024-06-26,neutral
2024-06-18,negative
2024-06-18,neutral
2024-06-13,positive
2024-06-10,negative
2024-06-05,positive
2024-06-05,negative
2024-06-04,positive
2024-06-04,negative
2024-06-02,negative
2024-05-31,neutral
2024-05-21,positive
2024-05-16,neutral
2024-05-16,negative
2024-05-14,negative
2024-05-13,neutral
2024-05-13,negative
2024-05-13,neutral
2024-05-10,positive
2024-05-08,negative
2024-05-07,negative
2024-04-30,positive
2024-04-26,neutral
2024-04-26,negative
2024-04-25,positive
2024-04-25,negative
2024-04-25,negative
2024-04-25,neutral
2024-04-25,negative
2024-04-25,negative
2024-04-24,positive
2024-04-23,neutral
2024-04-18,neutral
2024-04-16,neutral
2024-04-16,neutral
2024-04-16,positive
2024-04-13,negative
2024-04-12,negative
2024-04-12,negative
2024-04-11,negative
2024-04-09,neutral
2024-04-09,neutral
2024-04-09,negative
2024-04-05,neutral
2024-04-03,negative
2024-04-02,negative
2024-04-01,negative
2024-03-28,negative
2024-03-25,positive
2024-03-25,negative
2024-03-25,neutral
2024-03-24,negative
2024-03-20,positive
2024-03-18,positive
2024-03-13,neutral
2024-03-12,negative
2024-03-12,negative
2024-03-08,positive
2024-03-04,positive
2024-02-29,positive
2024-02-29,positive
2024-02-22,positive
2024-02-22,positive
2024-02-21,negative
2024-02-21,neutral
2024-02-20,positive
2024-02-20,neutral
2024-02-17,positive
2024-02-16,positive
2024-02-16,negative
2024-02-14,negative
2024-02-14,neutral
2024-02-12,neutral
2024-02-09,positive
2024-02-09,neutral
2024-02-07,negative
2024-02-07,positive
2024-02-02,negative
2024-01-30,neutral
2024-01-29,neutral
2024-01-27,neutral
2024-01-26,negative
2024-01-26,negative
2024-01-26,negative
2024-01-25,negative
2024-01-25,negative
2024-01-25,neutral
2024-01-25,neutral
2024-01-25,positive
2024-01-24,neutral
2024-01-24,positive
2024-01-23,negative
2024-01-22,positive
2024-01-19,negative
2024-01-18,positive
2024-01-12,negative
2024-01-10,positive
2024-01-10,positive
2024-01-10,neutral
2024-01-03,neutral
2024-01-03,neutral
2024-01-03,neutral
2023-12-28,negative
2023-12-26,positive
2023-12-26,neutral
2023-12-26,positive
2023-12-24,neutral
2023-12-22,neutral
2023-12-21,neutral
2023-12-15,neutral
2023-12-15,neutral
2023-12-15,neutral
2023-12-14,positive
2023-12-14,positive
2023-12-12,negative
2023-12-04,negative
2023-12-04,positive
2023-12-01,negative
2023-11-30,neutral
2023-11-27,positive
2023-11-22,negative
2023-11-15,positive
2023-11-14,negative
2023-11-07,neutral
2023-11-07,positive
2023-11-06,neutral
2023-11-01,negative
2023-10-31,positive
2023-10-30,neutral
2023-10-30,negative
2023-10-29,positive
2023-10-27,positive
2023-10-26,negative
2023-10-26,positive
2023-10-26,neutral
2023-10-26,positive
2023-10-26,neutral
2023-10-25,negative
2023-10-25,positive
2023-10-21,negative
2023-10-19,neutral
2023-10-18,negative
2023-10-16,positive
2023-10-16,positive
2023-10-06,negative
2023-10-04,positive
2023-10-03,neutral
2023-10-03,negative
2023-10-02,positive
2023-09-29,negative
2023-09-29,positive
2023-09-29,neutral
2023-09-26,negative
2023-09-22,negative
2023-09-22,neutral
2023-09-20,negative
2023-09-19,neutral
2023-09-18,neutral
2023-09-12,positive
2023-09-12,neutral
2023-09-09,negative
2023-09-07,negative
2023-09-07,negative
2023-09-07,neutral
2023-09-05,positive
2023-09-01,positive
2023-08-31,positive
2023-08-29,neutral
2023-08-28,negative
2023-08-22,negative
2023-08-22,positive
2023-08-21,negative
2023-08-18,negative
2023-08-16,negative
2023-08-15,negative
2023-08-15,neutral
2023-08-15,positive
